Quartiers,Bâties,Surf_Imper,Vég,Vég_basse,Eau,Shape_Area
15,50.495049504950494,33.663366336633665,7.920792079207921,7.920792079207921,0.0,84325.8504974
14,25.0,32.0,32.0,11.0,0.0,158697.365353
13,27.27272727272727,29.292929292929294,31.313131313131315,12.121212121212121,0.0,139661.671545
12,18.0,37.0,30.0,15.0,0.0,173910.081194
11,2.0,22.0,50.0,26.0,0.0,97716.5084122
10,25.0,49.0,14.000000000000002,12.0,0.0,295325.06243
9,19.0,41.0,26.0,14.000000000000002,0.0,633512.906758
8,21.21212121212121,48.484848484848484,19.19191919191919,11.11111111111111,0.0,275768.856743
7,34.65346534653465,53.46534653465347,8.91089108910891,2.9702970297029703,0.0,219022.26926
5,25.742574257425744,47.524752475247524,14.85148514851485,11.881188118811881,0.0,86178.0140177
4,21.0,42.0,24.0,13.0,0.0,224764.918097
3,41.0,43.0,10.0,6.0,0.0,203567.762101
2,25.742574257425744,30.693069306930692,30.693069306930692,12.871287128712872,0.0,154095.270404
1,27.722772277227726,39.603960396039604,21.782178217821784,10.891089108910892,0.0,104251.004912
,,,,,,198433.24062
,,,,,,166953.062053
,,,,,,180831.44762
,,,,,,356942.152012
,,,,,,222095.274465
,,,,,,141446.17048
,,,,,,304627.624267
,,,,,,166950.160758
,,,,,,191886.379663
